tweet_id,hashtags
jul -2021,;corrupcion;corrupcion;;;p;equilibrioec;mentiroso;ladron
nov -2019,"votos
;ecuadorestransparencia;;;anderssonboscan;renunciajueztorres;;;anderssonboscan;renunciajueztorres"
nov -2020,;asambleistas;desastroso;leninlasso
abr -2020,"
;leloestasperdido
;borregodatecuenta;;;lightningboltec"
jun -2020,";reactiventrasplantesec;reactiventrasplantesec

;reactiventrasplantesec
;salud;ec
;indotecuador;listadeesperaecamados

;reactiventrasplantesecvidas

;aborrerovega
;reactiventrasplantesec;reactiventrasplantesec
;salud;ec
;indotecuador

;aborrerovega
;jorgewatedtrasplantes
;aborrerovega
;reactiventrasplantesec;listadeesperaec;;salud;ec
;indotecuador

;aborrerovega
;jorgewated

;reactiventrasplantesec

las;listadeesperaec;listadeesperaec;;reactiventrasplantesec"
feb -2021,;lassoesmoreno;vacunadosgold;vacunadosgold
oct -2019,;andresnomientrasotravez;andresnomientrasotravez
jun -2020,;amlo;;;lopezobrador;;amlo
mar -2020,"este
;elpeorpresidentedelahistoria
;elpeorgobiernodelahistoria;;;andresarauz2021
;binomiodelaesperanza;;;kellyl2212
;lassonuncaserapresidente;;;wgomezrla;prensabasura;;;rutakriticamoreno
;mientecomorespira
;cuenteromayordetodoslostiempos
;elpeorpresidentedelahistoria

;elpeorgobiernodelahistoria
;gobiernodeinutiles
;gobiernodelamentira
;gobiernodedelincuentes
;gobiernocobarde;;;literatango
;elbinomiodelaesperanza;;;florcis;paredes"
ago -2020,;vacunadosgold;lassoesmoreno;;;villafernando;;arauz;correismo;ecuadorsevacuna
ene -2021,;elbinomiodelaesperanza;contigocontodosahora
mar -2021,";lassoesmoreno;pactassobanquero
;lassomientedecides
;debatepresidencialec;noelia;arauz
;unidosenvictorias;;;mashirafael"
feb -2021,;mastrabajo;noalaspencionesalimenticias;nopencionesalimenticias;padreymadrepagar
ene -2020,;lasso
oct -2019,;vacunadosgold;lassoesmoreno
